ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006338,chromatin remodeling,20/90,402/18614,3.89E-15,6.16E-13,3.01E-13,7157/5290/4609/2625/5925/57492/8289/23451/2099/3169/10664/7403/29072/1788/546/8312/54880/6597/55193/4778,20
GO:0045786,negative regulation of cell cycle,20/90,404/18614,4.28E-15,6.44E-13,3.16E-13,7157/595/5728/2625/5925/1029/4193/1030/675/1021/672/545/472/546/1027/677/324/4221/4436/701,20
GO:0010212,response to ionizing radiation,14/90,143/18614,7.16E-15,1.03E-12,5.05E-13,7157/4609/595/2625/4193/675/672/1788/545/472/4221/4436/6794/3265,14
GO:0014065,phosphatidylinositol 3-kinase signaling,14/90,144/18614,7.91E-15,1.09E-12,5.33E-13,5290/5728/2064/2260/2625/207/3480/4763/5295/1956/5156/2065/677/80243,14
GO:0048015,phosphatidylinositol-mediated signaling,14/90,172/18614,9.53E-14,1.26E-11,6.15E-12,5290/5728/2064/2260/2625/207/3480/4763/5295/1956/5156/2065/677/80243,14
GO:0051402,neuron apoptotic process,16/90,259/18614,1.06E-13,1.35E-11,6.59E-12,7157/5290/595/2625/5925/6416/55294/4763/3845/208/2065/387/472/4436/673/3265,16
GO:0048017,inositol lipid-mediated signaling,14/90,176/18614,1.31E-13,1.60E-11,7.81E-12,5290/5728/2064/2260/2625/207/3480/4763/5295/1956/5156/2065/677/80243,14
GO:0090398,cellular senescence,Dec-90,108/18614,1.46E-13,1.71E-11,8.39E-12,7157/5728/6416/1029/1030/6926/3480/675/1021/472/1027/3265,12
GO:0071900,regulation of protein serine/threonine kinase activity,18/90,369/18614,1.53E-13,1.73E-11,8.46E-12,595/5728/2064/2260/5925/1029/207/896/898/1030/4763/1956/387/8312/1027/324/4221/3265,18
GO:0010948,negative regulation of cell cycle process,17/90,317/18614,1.69E-13,1.84E-11,9.03E-12,7157/595/5728/5925/4193/1030/675/672/545/472/546/1027/677/324/4221/4436/701,17
GO:0070997,neuron death,18/90,373/18614,1.84E-13,1.93E-11,9.45E-12,7157/5290/595/2625/5925/6416/207/55294/4763/3845/208/2065/387/472/841/4436/673/3265,18
GO:0010720,positive regulation of cell development,19/90,432/18614,1.89E-13,1.93E-11,9.45E-12,2625/5925/57492/8289/865/23013/3845/4853/861/7494/387/1523/4851/6597/677/841/55193/6794/673,19
GO:0009416,response to light stimulus,17/90,323/18614,2.29E-13,2.27E-11,1.11E-11,7157/4609/595/207/675/4763/5295/1956/3845/208/1387/545/4221/4436/6794/673/2072,17
GO:1901988,negative regulation of cell cycle phase transition,16/90,274/18614,2.54E-13,2.44E-11,1.19E-11,7157/595/5728/5925/4193/1030/675/672/545/472/1027/677/324/4221/4436/701,16
GO:0071478,cellular response to radiation,14/90,191/18614,4.06E-13,3.78E-11,1.85E-11,7157/4609/2625/4193/675/5295/208/672/1387/545/472/6794/2072/3265,14
GO:0009411,response to UV,13/90,154/18614,4.84E-13,4.38E-11,2.14E-11,7157/4609/595/207/675/5295/1956/1387/545/4221/4436/6794/2072,13
GO:0051054,positive regulation of DNA metabolic process,16/90,303/18614,1.19E-12,1.04E-10,5.12E-11,4609/6416/57492/207/8289/3480/1956/672/8239/545/472/546/4292/6597/4436/55193,16
GO:0007059,chromosome segregation,18/90,435/18614,2.47E-12,2.11E-10,1.03E-10,5925/57492/8289/898/9611/672/10664/8239/387/472/546/4292/6597/10735/324/55193/701/2072,18
GO:0043523,regulation of neuron apoptotic process,14/90,219/18614,2.64E-12,2.20E-10,1.08E-10,7157/5290/595/2625/6416/55294/4763/3845/2065/387/472/4436/673/3265,14
GO:1901214,regulation of neuron death,16/90,327/18614,3.79E-12,3.01E-10,1.47E-10,7157/5290/595/2625/6416/207/55294/4763/3845/2065/387/472/841/4436/673/3265,16
GO:0050679,positive regulation of epithelial cell proliferation,14/90,225/18614,3.81E-12,3.01E-10,1.47E-10,4609/595/2064/80139/2260/207/4763/1956/4853/7494/2263/4851/4893/3265,14
GO:1902107,positive regulation of leukocyte differentiation,13/90,184/18614,4.75E-12,3.58E-10,1.75E-10,2625/5925/57492/8289/865/4853/861/7494/387/6597/677/841/55193,13
GO:1903708,positive regulation of hemopoiesis,13/90,184/18614,4.75E-12,3.58E-10,1.75E-10,2625/5925/57492/8289/865/4853/861/7494/387/6597/677/841/55193,13
GO:2000628,regulation of miRNA metabolic process,Oct-90,81/18614,5.93E-12,4.36E-10,2.14E-10,7157/4609/2625/9611/1956/2099/3169/4089/6597/3265,10
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,Nov-90,112/18614,6.34E-12,4.56E-10,2.23E-10,595/5728/1029/207/896/898/1030/1956/1027/324/4221,11
GO:0010332,response to gamma radiation,Sep-90,57/18614,7.13E-12,5.01E-10,2.46E-10,7157/4609/2625/4193/675/545/472/4221/3265,9
GO:1904029,regulation of cyclin-dependent protein kinase activity,Nov-90,116/18614,9.35E-12,6.43E-10,3.15E-10,595/5728/1029/207/896/898/1030/1956/1027/324/4221,11
GO:0048608,reproductive structure development,15/90,301/18614,1.47E-11,9.90E-10,4.85E-10,595/2625/6926/675/2099/3169/5156/2263/4089/472/546/1027/4851/4436/6794,15
GO:0061458,reproductive system development,15/90,305/18614,1.77E-11,1.15E-09,5.64E-10,595/2625/6926/675/2099/3169/5156/2263/4089/472/546/1027/4851/4436/6794,15
GO:0002761,regulation of myeloid leukocyte differentiation,Nov-90,123/18614,1.78E-11,1.15E-09,5.64E-10,4609/5925/55294/4763/5295/1021/4853/27086/861/677/841,11
GO:0007162,negative regulation of cell adhesion,15/90,312/18614,2.45E-11,1.55E-09,7.58E-10,5728/2064/80139/999/1029/207/865/4763/5295/861/2065/387/4851/868/4221,15
GO:0045619,regulation of lymphocyte differentiation,13/90,212/18614,2.85E-11,1.77E-09,8.67E-10,2064/2625/57492/8289/865/861/7494/387/6597/677/55193/673/639,13
GO:0010586,miRNA metabolic process,Oct-90,97/18614,3.73E-11,2.15E-09,1.05E-09,7157/4609/2625/9611/1956/2099/3169/4089/6597/3265,10
GO:1902807,negative regulation of cell cycle G1/S phase transition,Oct-90,97/18614,3.73E-11,2.15E-09,1.05E-09,7157/595/5728/5925/4193/1030/472/1027/324/4221,10
GO:0061180,mammary gland epithelium development,Sep-90,68/18614,3.74E-11,2.15E-09,1.05E-09,595/80139/2625/207/6926/675/2099/208/2263,9
GO:1902893,regulation of miRNA transcription,Sep-90,68/18614,3.74E-11,2.15E-09,1.05E-09,7157/4609/2625/9611/1956/2099/3169/4089/6597,9
GO:0061614,miRNA transcription,Sep-90,69/18614,4.29E-11,2.42E-09,1.19E-09,7157/4609/2625/9611/1956/2099/3169/4089/6597,9
GO:0050680,negative regulation of epithelial cell proliferation,Dec-90,177/18614,5.40E-11,3.00E-09,1.47E-09,2625/5925/55294/1030/675/4763/1021/2263/1027/4851/4221/6794,12
GO:0045580,regulation of T cell differentiation,Dec-90,180/18614,6.58E-11,3.59E-09,1.76E-09,2064/2625/57492/8289/865/861/7494/387/6597/55193/673/639,12
GO:0003170,heart valve development,Sep-90,73/18614,7.23E-11,3.88E-09,1.90E-09,2625/5925/4193/4853/387/4089/4851/324/639,9
GO:0010721,negative regulation of cell development,14/90,286/18614,9.46E-11,4.99E-09,2.44E-09,7157/4609/5728/2064/5925/999/55294/865/1030/4763/5295/1021/861/4851,14
GO:0045930,negative regulation of mitotic cell cycle,13/90,243/18614,1.57E-10,8.03E-09,3.93E-09,7157/595/5728/5925/4193/1030/672/472/1027/677/324/4436/701,13
GO:1901991,negative regulation of mitotic cell cycle phase transition,Dec-90,194/18614,1.57E-10,8.03E-09,3.93E-09,7157/595/5728/5925/4193/1030/672/472/1027/677/324/701,12
GO:0022407,regulation of cell-cell adhesion,17/90,491/18614,1.74E-10,8.76E-09,4.29E-09,5290/2064/80139/2625/999/57492/207/8289/865/3169/861/7494/387/4851/6597/868/55193,17
GO:0097193,intrinsic apoptotic signaling pathway,14/90,301/18614,1.86E-10,9.18E-09,4.49E-09,7157/4609/207/55294/4193/675/5295/672/7494/472/4292/4436/6794/3265,14
GO:0006302,double-strand break repair,14/90,303/18614,2.03E-10,9.86E-09,4.83E-09,7157/57492/8289/675/672/29072/545/79728/472/4292/6597/4436/55193/2072,14
GO:0033044,regulation of chromosome organization,13/90,250/18614,2.22E-10,1.06E-08,5.18E-09,4609/5925/57492/8289/10664/545/472/546/6597/324/55193/701/2072,13
GO:0033674,positive regulation of kinase activity,16/90,430/18614,2.24E-10,1.06E-08,5.18E-09,595/2064/2260/207/55294/896/3480/1956/5156/2065/2263/387/8312/1027/6794/3265,16
GO:2001020,regulation of response to DNA damage stimulus,14/90,311/18614,2.85E-10,1.33E-08,6.50E-09,7157/4609/57492/8289/4193/675/1956/672/29072/545/472/6597/55193/2072,14
GO:1901653,cellular response to peptide,15/90,375/18614,3.21E-10,1.47E-08,7.20E-09,7157/5290/5925/57492/207/896/4193/3480/5295/208/7494/677/324/4221/3265,15
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,Sep-90,86/18614,3.25E-10,1.47E-08,7.20E-09,7157/595/5728/5925/4193/1030/472/1027/324,9
GO:0050863,regulation of T cell activation,15/90,377/18614,3.46E-10,1.54E-08,7.55E-09,5290/2064/2625/57492/207/8289/865/861/7494/387/6597/868/55193/673/639,15
GO:0060485,mesenchyme development,14/90,320/18614,4.14E-10,1.82E-08,8.91E-09,4609/5728/80139/2260/2625/4193/6926/3169/2065/2263/4089/4851/677/324,14
GO:2000630,positive regulation of miRNA metabolic process,Aug-90,60/18614,4.53E-10,1.96E-08,9.62E-09,7157/4609/2625/1956/3169/4089/6597/3265,8
GO:0072331,signal transduction by p53 class mediator,Nov-90,173/18614,7.16E-10,3.06E-08,1.50E-08,7157/4609/207/4193/675/545/472/546/1027/4436/6794,11
GO:0098813,nuclear chromosome segregation,14/90,339/18614,8.77E-10,3.70E-08,1.81E-08,5925/57492/8289/898/387/472/546/4292/6597/10735/324/55193/701/2072,14
GO:0002573,myeloid leukocyte differentiation,Dec-90,227/18614,9.59E-10,3.99E-08,1.96E-08,4609/2625/5925/55294/4763/5295/1021/4853/27086/861/677/841,12
GO:0030879,mammary gland development,Oct-90,136/18614,1.08E-09,4.44E-08,2.18E-08,595/80139/2625/207/6926/675/2099/208/7494/2263,10
GO:0045785,positive regulation of cell adhesion,16/90,482/18614,1.18E-09,4.77E-08,2.34E-08,5290/2064/2625/57492/207/8289/865/3169/1021/861/7494/387/472/6597/55193/673,16
GO:0045787,positive regulation of cell cycle,14/90,354/18614,1.54E-09,6.15E-08,3.01E-08,595/5925/207/896/4193/6926/3480/675/1956/3169/2263/387/546/1027,14
GO:0030099,myeloid cell differentiation,15/90,421/18614,1.58E-09,6.24E-08,3.05E-08,4609/2625/5925/55294/865/1030/4763/5295/1021/4853/27086/861/677/841/54790,15
GO:0016049,cell growth,16/90,495/18614,1.73E-09,6.68E-08,3.27E-08,7157/2064/5925/6416/999/1029/207/1956/672/27086/8239/387/4089/1027/6597/6794,16
GO:0000075,cell cycle checkpoint signaling,Nov-90,188/18614,1.73E-09,6.68E-08,3.27E-08,7157/595/4193/675/672/545/472/1027/324/4436/701,11
GO:0043434,response to peptide hormone,15/90,427/18614,1.91E-09,7.29E-08,3.57E-08,5290/5925/57492/207/896/3480/5295/208/7494/1027/677/324/4221/6794/3265,15
GO:0003279,cardiac septum development,Sep-90,107/18614,2.34E-09,8.80E-08,4.31E-08,7157/2625/4193/6926/4853/2263/4089/4851/639,9
GO:0036293,response to decreased oxygen levels,13/90,306/18614,2.63E-09,9.78E-08,4.79E-08,7157/4609/207/4193/4763/1387/1788/387/4089/472/1027/4851/677,13
GO:0071479,cellular response to ionizing radiation,Aug-90,75/18614,2.82E-09,1.03E-07,5.06E-08,7157/2625/4193/675/672/545/472/3265,8
GO:0071375,cellular response to peptide hormone stimulus,13/90,308/18614,2.84E-09,1.03E-07,5.06E-08,5290/5925/57492/207/896/3480/5295/208/7494/677/324/4221/3265,13
GO:0045445,myoblast differentiation,Sep-90,110/18614,2.99E-09,1.07E-07,5.26E-08,5925/57492/8289/6926/4851/6597/677/4893/55193,9
GO:0001890,placenta development,Oct-90,152/18614,3.20E-09,1.14E-07,5.57E-08,207/1956/4853/29072/2263/1027/677/841/4221/639,10
GO:0042063,gliogenesis,13/90,320/18614,4.50E-09,1.58E-07,7.75E-08,7157/5728/2064/5925/207/1030/4763/3845/1021/208/2065/387/4851,13
GO:1902895,positive regulation of miRNA transcription,Jul-90,51/18614,4.75E-09,1.63E-07,7.99E-08,7157/4609/2625/1956/3169/4089/6597,7
GO:0034502,protein localization to chromosome,Sep-90,116/18614,4.79E-09,1.63E-07,7.99E-08,5925/675/2099/10664/29072/545/546/4436/701,9
GO:0045582,positive regulation of T cell differentiation,Sep-90,116/18614,4.79E-09,1.63E-07,7.99E-08,2625/57492/8289/865/861/7494/387/6597/55193,9
GO:0032869,cellular response to insulin stimulus,Nov-90,211/18614,5.82E-09,1.94E-07,9.52E-08,5290/5925/207/896/3480/5295/208/7494/677/324/3265,11
GO:0051251,positive regulation of lymphocyte activation,13/90,327/18614,5.84E-09,1.94E-07,9.52E-08,5290/2625/57492/207/8289/865/861/7494/387/4292/6597/4436/55193,13
GO:0032355,response to estradiol,Sep-90,120/18614,6.47E-09,2.13E-07,1.04E-07,595/80139/3480/1956/2099/3169/1788/1027/841,9
GO:0030900,forebrain development,14/90,397/18614,6.66E-09,2.17E-07,1.06E-07,5728/999/6926/3480/4763/1956/3845/1021/29072/27086/2263/387/546/4851,14
GO:0045637,regulation of myeloid cell differentiation,Nov-90,214/18614,6.74E-09,2.18E-07,1.07E-07,4609/5925/55294/4763/5295/1021/4853/27086/861/677/841,11
GO:0070482,response to oxygen levels,13/90,333/18614,7.26E-09,2.32E-07,1.14E-07,7157/4609/207/4193/4763/1387/1788/387/4089/472/1027/4851/677,13
GO:0003205,cardiac chamber development,Oct-90,166/18614,7.51E-09,2.36E-07,1.15E-07,7157/2625/4193/6926/3480/4853/2263/4089/4851/639,10
GO:0060562,epithelial tube morphogenesis,13/90,334/18614,7.52E-09,2.36E-07,1.15E-07,4609/2625/6926/3845/2099/3169/4853/29072/27086/2263/387/4089/4851,13
GO:0071560,cellular response to transforming growth factor beta stimulus,Dec-90,274/18614,8.04E-09,2.43E-07,1.19E-07,7157/80139/1030/3480/1387/8239/2263/4089/8312/677/4221/6794,12
GO:0000077,DNA damage checkpoint signaling,Sep-90,123/18614,8.05E-09,2.43E-07,1.19E-07,7157/595/4193/675/672/545/472/1027/4436,9
GO:0022612,gland morphogenesis,Sep-90,123/18614,8.05E-09,2.43E-07,1.19E-07,55294/6926/1956/2099/3169/4853/7494/2263/4851,9
GO:0071901,negative regulation of protein serine/threonine kinase activity,Sep-90,123/18614,8.05E-09,2.43E-07,1.19E-07,5728/5925/1029/207/1030/4763/1027/324/4221,9
GO:0010165,response to X-ray,Jun-90,32/18614,8.84E-09,2.61E-07,1.28E-07,7157/595/2625/675/472/4436,6
GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,Jun-90,32/18614,8.84E-09,2.61E-07,1.28E-07,5728/1029/1030/1027/324/4221,6
GO:0048545,response to steroid hormone,13/90,339/18614,8.98E-09,2.63E-07,1.29E-07,5290/595/8289/9611/3480/2099/3169/672/27086/387/4851/6597/677,13
GO:0048145,regulation of fibroblast proliferation,Aug-90,87/18614,9.31E-09,2.70E-07,1.32E-07,7157/4609/4763/1956/2099/1021/5156/3265,8
GO:0070371,ERK1 and ERK2 cascade,13/90,341/18614,9.63E-09,2.77E-07,1.36E-07,4609/5728/2064/55294/1956/4853/5156/2263/4089/4851/677/673/3265,13
GO:0051348,negative regulation of transferase activity,Dec-90,279/18614,9.84E-09,2.80E-07,1.37E-07,7157/5728/5925/1029/207/1030/4763/1027/324/868/4221/701,12
GO:0071559,response to transforming growth factor beta,Dec-90,280/18614,1.02E-08,2.89E-07,1.42E-07,7157/80139/1030/3480/1387/8239/2263/4089/8312/677/4221/6794,12
GO:0045165,cell fate commitment,Dec-90,281/18614,1.07E-08,2.98E-07,1.46E-07,7157/2625/6926/3169/4853/2263/387/4089/4851/324/673/639,12
GO:1904030,negative regulation of cyclin-dependent protein kinase activity,Jun-90,33/18614,1.08E-08,2.99E-07,1.46E-07,5728/1029/1030/1027/324/4221,6
GO:0030511,positive regulation of transforming growth factor beta receptor signaling pathway,Jun-90,34/18614,1.30E-08,3.54E-07,1.74E-07,1030/1387/4089/8312/4221/6794,6
GO:1903846,positive regulation of cellular response to transforming growth factor beta stimulus,Jun-90,34/18614,1.30E-08,3.54E-07,1.74E-07,1030/1387/4089/8312/4221/6794,6
GO:0045621,positive regulation of lymphocyte differentiation,Sep-90,130/18614,1.31E-08,3.54E-07,1.74E-07,2625/57492/8289/865/861/7494/387/6597/55193,9
GO:0030071,regulation of mitotic metaphase/anaphase transition,Aug-90,91/18614,1.33E-08,3.57E-07,1.75E-07,5925/57492/8289/472/6597/324/55193/701,8
GO:0001558,regulation of cell growth,14/90,420/18614,1.36E-08,3.61E-07,1.77E-07,7157/2064/5925/999/1029/207/1956/672/27086/387/4089/1027/6597/6794,14
GO:0060253,negative regulation of glial cell proliferation,May-90,17/18614,1.40E-08,3.68E-07,1.80E-07,7157/5925/1030/4763/4851,5
GO:0031570,DNA integrity checkpoint signaling,Sep-90,132/18614,1.50E-08,3.92E-07,1.92E-07,7157/595/4193/675/672/545/472/1027/4436,9
GO:0003179,heart valve morphogenesis,Jul-90,60/18614,1.53E-08,3.96E-07,1.94E-07,2625/5925/4193/4853/387/4089/4851,7
GO:0060537,muscle tissue development,14/90,426/18614,1.62E-08,4.17E-07,2.04E-07,5925/6416/6926/4763/3845/4853/27086/861/5156/2065/2263/387/4089/4851,14
GO:0001666,response to hypoxia,Dec-90,293/18614,1.70E-08,4.33E-07,2.12E-07,7157/4609/4193/4763/1387/1788/387/4089/472/1027/4851/677,12
GO:1902099,regulation of metaphase/anaphase transition of cell cycle,Aug-90,94/18614,1.73E-08,4.37E-07,2.14E-07,5925/57492/8289/472/6597/324/55193/701,8
GO:0007091,metaphase/anaphase transition of mitotic cell cycle,Aug-90,95/18614,1.88E-08,4.71E-07,2.31E-07,5925/57492/8289/472/6597/324/55193/701,8
GO:0042770,signal transduction in response to DNA damage,Oct-90,184/18614,2.01E-08,5.01E-07,2.46E-07,7157/595/4193/675/672/545/472/546/1027/4436,10
GO:0035270,endocrine system development,Sep-90,137/18614,2.07E-08,5.13E-07,2.51E-07,2625/999/207/4763/1021/5156/4089/4221/673,9
GO:0045860,positive regulation of protein kinase activity,13/90,366/18614,2.23E-08,5.46E-07,2.68E-07,595/2064/2260/207/55294/896/1956/2065/387/8312/1027/6794/3265,13
GO:0044784,metaphase/anaphase transition of cell cycle,Aug-90,98/18614,2.40E-08,5.84E-07,2.86E-07,5925/57492/8289/472/6597/324/55193/701,8
GO:0040029,epigenetic regulation of gene expression,Oct-90,188/18614,2.47E-08,5.97E-07,2.92E-07,7157/5290/5925/57492/8289/672/10664/1788/546/8312,10
GO:0007093,mitotic cell cycle checkpoint signaling,Sep-90,140/18614,2.51E-08,6.01E-07,2.94E-07,7157/595/4193/672/472/1027/324/4436/701,9
GO:0001889,liver development,Sep-90,142/18614,2.84E-08,6.74E-07,3.30E-07,5290/595/55294/1030/6926/4763/4853/7494/4851,9
GO:0030308,negative regulation of cell growth,Oct-90,191/18614,2.87E-08,6.78E-07,3.32E-07,7157/5925/999/1029/672/27086/4089/1027/6597/6794,10
GO:0010812,negative regulation of cell-substrate adhesion,Jul-90,66/18614,3.01E-08,7.06E-07,3.46E-07,5728/1029/4763/5295/387/4851/4221,7
GO:0060251,regulation of glial cell proliferation,Jun-90,39/18614,3.10E-08,7.20E-07,3.53E-07,7157/5925/1030/4763/3845/4851,6
GO:0002696,positive regulation of leukocyte activation,13/90,377/18614,3.16E-08,7.29E-07,3.57E-07,5290/2625/57492/207/8289/865/861/7494/387/4292/6597/4436/55193,13
GO:0033002,muscle cell proliferation,Nov-90,249/18614,3.23E-08,7.35E-07,3.60E-07,5290/5728/207/3480/4763/27086/861/2263/387/1027/4851,11
GO:0050870,positive regulation of T cell activation,Nov-90,249/18614,3.23E-08,7.35E-07,3.60E-07,5290/2625/57492/207/8289/865/861/7494/387/6597/55193,11
GO:1903037,regulation of leukocyte cell-cell adhesion,13/90,378/18614,3.26E-08,7.36E-07,3.60E-07,5290/2064/2625/57492/207/8289/865/861/7494/387/6597/868/55193,13
GO:0060193,positive regulation of lipase activity,Jul-90,67/18614,3.35E-08,7.49E-07,3.67E-07,2260/1956/2099/5156/2263/387/3265,7
GO:0000819,sister chromatid segregation,Nov-90,250/18614,3.36E-08,7.49E-07,3.67E-07,5925/57492/8289/387/472/546/6597/10735/324/55193/701,11
GO:0061008,hepaticobiliary system development,Sep-90,145/18614,3.40E-08,7.52E-07,3.68E-07,5290/595/55294/1030/6926/4763/4853/7494/4851,9
GO:0071902,positive regulation of protein serine/threonine kinase activity,Oct-90,195/18614,3.49E-08,7.64E-07,3.74E-07,595/2064/2260/207/896/1956/387/8312/1027/3265,10
GO:0048568,embryonic organ development,14/90,453/18614,3.50E-08,7.64E-07,3.74E-07,7157/2625/207/6926/1956/4853/29072/5156/2263/79728/4851/677/841/639,14
GO:0048144,fibroblast proliferation,Aug-90,103/18614,3.56E-08,7.71E-07,3.77E-07,7157/4609/4763/1956/2099/1021/5156/3265,8
GO:0045926,negative regulation of growth,Nov-90,252/18614,3.65E-08,7.85E-07,3.85E-07,7157/5728/5925/999/1029/672/27086/4089/1027/6597/6794,11
GO:0033045,regulation of sister chromatid segregation,Aug-90,104/18614,3.84E-08,8.17E-07,4.00E-07,5925/57492/8289/472/6597/324/55193/701,8
GO:0002520,immune system development,Oct-90,197/18614,3.85E-08,8.17E-07,4.00E-07,7157/2625/1030/472/4292/868/4436/5395/171023/673,10
GO:0051053,negative regulation of DNA metabolic process,Sep-90,148/18614,4.06E-08,8.57E-07,4.20E-07,7157/2625/675/545/472/4292/4221/4436/2072,9
GO:0043414,macromolecule methylation,Dec-90,320/18614,4.48E-08,9.39E-07,4.60E-07,4609/2625/672/10664/7403/29072/1788/4089/546/54880/4221/639,12
GO:0022409,positive regulation of cell-cell adhesion,Dec-90,321/18614,4.64E-08,9.65E-07,4.73E-07,5290/2625/57492/207/8289/865/3169/861/7494/387/6597/55193,12
GO:0001763,morphogenesis of a branching structure,Oct-90,203/18614,5.11E-08,1.06E-06,5.18E-07,4609/6926/3845/2099/3169/29072/2263/4089/4851/639,10
GO:0050867,positive regulation of cell activation,13/90,394/18614,5.29E-08,1.09E-06,5.32E-07,5290/2625/57492/207/8289/865/861/7494/387/4292/6597/4436/55193,13
GO:1902106,negative regulation of leukocyte differentiation,Aug-90,109/18614,5.55E-08,1.12E-06,5.49E-07,4609/2064/55294/865/4763/5295/1021/861,8
GO:0030330,"DNA damage response, signal transduction by p53 class mediator",Jul-90,72/18614,5.56E-08,1.12E-06,5.49E-07,7157/4193/675/545/472/546/1027,7
GO:0060411,cardiac septum morphogenesis,Jul-90,72/18614,5.56E-08,1.12E-06,5.49E-07,7157/4193/6926/4853/2263/4089/4851,7
GO:0043524,negative regulation of neuron apoptotic process,Sep-90,155/18614,6.06E-08,1.21E-06,5.94E-07,5290/595/6416/3845/2065/387/4436/673/3265,9
